City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
275,Bonthe,SL,80.62,overcast clouds,7.53,-12.51,Bonthe Holiday Village
276,Puerto Escondido,MX,78.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
278,Juazeiro,BR,82.4,broken clouds,-9.41,-40.5,JB Hotel
279,Lorengau,PG,81.61,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
284,Poum,NC,76.46,overcast clouds,-20.23,164.02,Gîte kajeon
286,Isangel,VU,77.76,clear sky,-19.55,169.27,Volcano Sea View Tree House
288,Samarai,PG,81.52,light rain,-10.62,150.67,Nuli Sapi
296,Uttiramerur,IN,78.8,mist,12.6,79.77,BVR rice mill
302,Guerrero Negro,MX,75.13,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
314,Oriximina,BR,87.53,light rain,-1.77,-55.87,Pousada Tia Amélia
316,Bairiki,KI,80.6,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
317,Acapulco,MX,86.0,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
318,Bengkulu,ID,75.72,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
324,Itaituba,BR,80.6,scattered clouds,-4.28,-55.98,Hotel Campos
335,Fort Myers Beach,US,89.01,clear sky,26.45,-81.95,Lani Kai Island Resort
337,Peravurani,IN,77.95,clear sky,10.3,79.18,STD Lodge
339,Sorong,ID,79.45,moderate rain,-0.88,131.25,The Waigo Hotel
341,Mareeba,AU,75.99,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
342,Alta Floresta,BR,80.6,shower rain,-9.88,-56.09,Floresta Amazonica Hotel
344,Pafos,CY,75.2,scattered clouds,34.77,32.42,Elysium Hotel
346,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
354,Mana,GF,82.08,broken clouds,5.66,-53.78,LE SAMANA
358,Taoudenni,ML,85.33,clear sky,22.68,-3.98,
359,Gao,ML,83.41,clear sky,16.64,1.64,
367,Tema,GH,80.6,scattered clouds,5.67,-0.02,Beulah Royale
371,Kedougou,SN,79.34,broken clouds,12.56,-12.17,Relais de Kédougou
372,Buala,SB,82.69,clear sky,-8.14,159.59,Maringe Lagoon Lodge
374,Anloga,GH,80.6,few clouds,5.79,0.9,Pin Drop Hotel
379,Presidente Dutra,BR,86.81,light rain,-5.29,-44.49,Pousada Planalto
385,La Asuncion,VE,89.6,clear sky,11.03,-63.86,Colinas de Matasiete
389,Tecoanapa,MX,85.91,light rain,16.52,-98.75,Hotel Manglares
391,Altamira,BR,87.8,broken clouds,-3.2,-52.21,Requinte Hotel
395,Trincomalee,LK,79.14,clear sky,8.57,81.23,Welcombe Hotel
398,San,ML,81.34,overcast clouds,13.3,-4.9,Hôtel Teriya
399,Posse,BR,81.23,broken clouds,-14.09,-46.37,Pousada das Palmeiras
401,Kavaratti,IN,81.21,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
402,Sungairaya,ID,76.98,overcast clouds,0.7,108.9,808 artel
406,Bagaces,CR,84.2,broken clouds,10.53,-85.25,Cabinas Tamarindo Bagaces
409,Gweta,BW,84.88,scattered clouds,-20.18,25.23,Gweta Lodge
413,Norsup,VU,82.4,scattered clouds,-16.07,167.38,Nabelchel Bungalows
418,Zhuhai,CN,77.0,clear sky,22.28,113.57,珠海粤财假日酒店
421,Mersing,MY,77.56,overcast clouds,2.43,103.84,Timotel Hotel
429,Caramay,PH,79.97,overcast clouds,10.18,119.24,Peace and Love Beach Club
430,Gat,IL,75.99,scattered clouds,31.61,34.76,OlusHome
435,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
