City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Lagoa,PT,39.05,-27.98,62.76,64,100,8.63,overcast clouds
83,Chapais,CA,49.78,-74.85,24.8,68,90,8.05,overcast clouds
84,Carnarvon,AU,-24.87,113.63,68.0,77,0,20.8,clear sky
85,Forio,IT,40.73,13.86,60.01,72,40,6.93,scattered clouds
86,Saint-Augustin,CA,51.23,-58.65,31.75,90,83,1.12,broken clouds
87,Nikolskoye,RU,59.7,30.79,51.8,81,90,8.95,light intensity shower rain
88,Dwarka,IN,22.24,68.97,81.12,58,0,10.22,clear sky
89,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.83,77,20,13.31,few clouds
90,Kokopo,PG,-4.35,152.26,79.48,79,25,5.23,scattered clouds
91,Klaksvik,FO,62.23,-6.59,42.8,81,85,11.41,overcast clouds
92,La Ronge,CA,55.1,-105.28,28.4,92,90,5.82,light snow
93,Mataura,NZ,-46.19,168.86,53.01,72,8,1.99,clear sky
94,Flinders,AU,-34.58,150.86,59.0,89,77,1.01,light rain
95,Ucluelet,CA,48.93,-125.55,52.0,100,90,3.36,mist
96,Saldanha,ZA,-33.01,17.94,59.0,87,100,2.24,overcast clouds
97,Hermanus,ZA,-34.42,19.23,62.01,92,100,1.01,overcast clouds
98,Botwood,CA,49.15,-55.35,33.01,93,100,5.44,light rain
99,Arman,RU,59.7,150.17,28.99,81,0,5.97,clear sky
100,Caravelas,BR,-17.71,-39.25,76.39,88,80,5.21,broken clouds
101,Ribeira Grande,PT,38.52,-28.7,62.6,72,75,6.93,broken clouds
102,Kapaa,US,22.08,-159.32,82.99,83,75,4.7,broken clouds
103,Ust-Tsilma,RU,65.44,52.15,35.33,96,100,5.5,light rain
104,Panaba,MX,21.28,-88.27,79.2,90,97,13.24,light rain
105,Nacala,MZ,-14.54,40.67,75.15,82,0,2.24,clear sky
106,Pinheiro Machado,BR,-31.58,-53.38,62.01,96,100,18.01,overcast clouds
107,Khani,GE,41.96,42.96,69.8,46,0,27.51,clear sky
108,Turkistan,KZ,43.0,68.0,32.56,78,0,8.57,clear sky
109,Katsuura,JP,35.13,140.3,60.8,72,40,8.05,scattered clouds
110,Nouadhibou,MR,20.93,-17.03,80.6,47,100,19.46,overcast clouds
111,Vao,NC,-22.67,167.48,72.95,82,82,18.23,broken clouds
112,Bluff,NZ,-46.6,168.33,53.01,72,22,1.99,few clouds
113,Yellowknife,CA,62.46,-114.35,17.6,67,75,9.17,light snow
114,Sinnamary,GF,5.38,-52.95,82.06,75,36,11.39,light rain
115,Izhma,RU,65.01,53.91,33.94,96,100,7.0,light rain
116,Abalak,RU,58.13,68.59,17.78,96,91,11.61,overcast clouds
117,Feira De Santana,BR,-12.27,-38.97,84.76,52,100,5.53,overcast clouds
118,Sambava,MG,-14.27,50.17,72.01,88,8,5.97,clear sky
119,Qaanaaq,GL,77.48,-69.36,10.44,80,89,13.29,overcast clouds
120,Asau,RO,46.43,26.4,50.0,98,0,1.59,clear sky
121,Tigil,RU,57.8,158.67,34.07,89,89,1.48,overcast clouds
122,Sola,VU,-13.88,167.55,79.36,78,63,18.23,broken clouds
123,Ola,RU,59.58,151.28,29.75,83,0,7.29,clear sky
124,Waitati,NZ,-45.75,170.57,52.0,70,0,14.0,clear sky
125,Galesong,ID,-5.32,119.37,73.4,88,20,1.12,heavy intensity rain
126,Bondoukou,CI,8.03,-2.8,76.42,67,64,1.28,broken clouds
127,Hofn,IS,64.25,-15.21,37.11,82,100,22.17,overcast clouds
128,Savino,RU,56.59,41.22,37.85,87,4,8.57,clear sky
129,Provideniya,RU,64.38,-173.3,32.0,96,90,6.71,light snow
130,Roebourne,AU,-20.78,117.13,67.03,90,86,4.18,overcast clouds
131,Loandjili,CG,-4.76,11.86,77.65,87,67,8.08,broken clouds
132,Bolivar,US,37.61,-93.41,37.99,94,98,10.36,light rain
133,Codrington,AU,-38.27,141.97,52.47,89,80,7.05,broken clouds
134,Bajos De Haina,DO,18.42,-70.03,79.0,94,75,10.09,broken clouds
135,Banda Aceh,ID,5.56,95.32,79.36,74,80,11.83,broken clouds
136,Vila Franca Do Campo,PT,37.72,-25.43,64.4,72,75,3.36,broken clouds
137,Svetlogorsk,BY,52.63,29.73,46.72,81,12,6.82,few clouds
138,Talakan,RU,50.32,130.37,32.58,95,67,3.36,broken clouds
139,Amapa,BR,1.0,-52.0,90.59,40,80,4.18,broken clouds
140,San Lorenzo De El Escorial,ES,40.59,-4.15,52.0,85,67,2.57,broken clouds
141,Novyy Nekouz,RU,57.9,38.07,43.43,87,20,12.8,few clouds
142,Glace Bay,CA,46.2,-59.96,42.01,80,75,16.11,broken clouds
143,Carpinteria,US,34.4,-119.52,77.0,12,1,10.29,clear sky
144,Nyurba,RU,63.28,118.33,12.07,87,100,3.18,overcast clouds
145,Hobart,AU,-42.88,147.33,53.01,93,75,4.7,broken clouds
146,Livingston,GB,55.9,-3.52,44.01,87,40,13.87,scattered clouds
147,Mahebourg,MU,-20.41,57.7,70.0,79,2,3.0,clear sky
148,Voyvozh,RU,62.89,54.96,31.53,99,100,6.82,overcast clouds
149,Hamilton,US,39.18,-84.53,53.01,81,90,3.36,moderate rain
150,Juneau,US,58.3,-134.42,46.99,81,90,6.93,overcast clouds
151,Sernovodsk,RU,43.31,45.16,55.4,87,90,11.18,overcast clouds
152,Murgab,TM,37.5,61.97,48.2,57,3,6.93,clear sky
153,Oktyabrskoye,RU,43.06,44.74,51.8,93,4,8.95,clear sky
154,Tornio,FI,65.85,24.15,42.8,93,90,8.05,overcast clouds
155,Naze,JP,28.37,129.48,66.2,88,16,3.36,few clouds
156,Sungaipenuh,ID,-2.08,101.38,63.21,85,99,1.43,overcast clouds
157,Cabo San Lucas,MX,22.89,-109.91,82.4,58,40,6.93,scattered clouds
158,Bac Lieu,VN,9.29,105.72,77.68,89,100,9.84,overcast clouds
159,Dauphin,CA,51.15,-100.05,39.2,84,90,18.34,overcast clouds
160,Dingle,PH,11.0,122.67,75.87,87,80,3.65,broken clouds
161,Tura,IN,25.52,90.22,68.56,88,0,4.29,clear sky
162,Mont-Dore,NC,-22.28,166.58,79.0,96,95,9.84,overcast clouds
163,Bredasdorp,ZA,-34.53,20.04,62.6,82,100,2.24,overcast clouds
164,Ndele,CF,8.41,20.65,75.54,62,42,1.34,scattered clouds
165,Merauke,ID,-8.47,140.33,74.46,83,100,11.88,overcast clouds
166,Port Elizabeth,ZA,-33.92,25.57,62.6,93,17,19.46,few clouds
167,Yongan,CN,39.7,113.69,36.79,55,100,0.85,overcast clouds
168,Alice Springs,AU,-23.7,133.88,55.4,32,0,4.7,clear sky
169,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,78,0,11.41,clear sky
170,Kushiro,JP,42.98,144.37,44.2,81,100,5.26,overcast clouds
171,San Nicolas,PH,18.17,120.6,78.8,100,90,2.24,overcast clouds
172,Fare,PF,-16.7,-151.02,80.4,81,96,19.57,overcast clouds
173,Gerede,TR,40.8,32.2,53.04,49,1,3.8,clear sky
174,Yiyang,CN,28.59,112.33,62.06,77,96,8.14,overcast clouds
